,price,city,region,surface,rooms,bathrooms,etat_age,garden,parking,pool,beach_view,mountain_view,central_heating,air_conditioning,elevator
146,530000.0,ariana,soukra,160.0,4,2,bon etat,No,No,No,No,No,No,No,No
147,456000.0,tunis,aouina,101.0,2,1,bon etat,Yes,Yes,No,No,No,Yes,Yes,Yes
148,250000.0,ariana,soukra,114.0,2,1,bon etat,No,Yes,No,No,No,No,No,No
149,839800.0,tunis,aouina,173.0,4,3,new,No,Yes,No,No,No,Yes,Yes,Yes
150,220000.0,tunis,manar 1,80.0,2,2,bon etat,No,No,No,No,No,Yes,No,Yes
151,140000.0,tunis,tunis,134.4,3,2,bon état,No,No,No,No,No,No,No,No
152,338000.0,ariana,ennasr 2,150.0,4,2,bon etat,Yes,Yes,No,No,Yes,Yes,Yes,Yes
153,1600000.0,ariana,soukra,842.0,6,3,bon etat,Yes,Yes,Yes,No,No,No,No,No
154,250000.0,ariana,soukra,100.0,3,1,bon etat,No,Yes,No,No,No,No,No,No
155,170000.0,tunis,bardo,74.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
156,165000.0,tunis,aouina,50.0,2,1,new,No,No,No,No,No,No,No,No
157,230000.0,tunis,aouina,68.0,1,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
158,335000.0,tunis,aouina,140.0,3,1,new,No,Yes,No,No,No,Yes,Yes,Yes
159,295000.0,tunis,aouina,143.0,3,2,bon etat,No,Yes,No,No,No,No,No,No
160,550000.0,tunis,jardins de carthage,109.0,3,2,new,No,Yes,Yes,No,No,Yes,Yes,No
161,570000.0,tunis,jardins de carthage,112.0,2,1,bon etat,No,No,No,No,No,No,No,No
162,700000.0,tunis,jardins de carthage,140.0,4,3,recently built,No,Yes,Yes,No,No,Yes,Yes,Yes
163,95000.0,tunis,tunis,51.0,2,1,bon état,No,No,No,No,No,No,No,No
164,550000.0,tunis,tunis,120.0,4,2,bon etat,Yes,Yes,No,No,No,Yes,Yes,No
165,150000.0,tunis,agba,70.0,2,1,bon etat,No,No,No,No,No,No,No,No
166,300000.0,ariana,soukra,107.0,2,1,bon etat,No,Yes,No,No,No,No,No,No
167,195000.0,tunis,aouina,67.0,1,1,bon état,No,No,No,No,No,Yes,No,Yes
168,670000.0,tunis,jardins de carthage,142.0,2,2,new,No,No,No,No,No,Yes,Yes,Yes
169,340000.0,tunis,aouina,172.0,4,2,bon etat,No,No,No,No,No,No,No,No
170,280000.0,tunis,aouina,110.0,2,1,New,No,No,No,No,No,Yes,No,Yes
171,319999.0,tunis,aouina,137.0,3,1,bon etat,No,No,No,No,No,Yes,Yes,No
172,420000.0,tunis,ain zaghouan,127.0,3,1,new,No,Yes,No,No,No,No,No,No
173,170000.0,ben arous,ben arous,107.0,2,1,bon etat,No,Yes,No,No,No,No,No,Yes
174,265000.0,tunis,aouina,95.0,2,1,bon etat,No,No,No,No,No,No,No,No
175,315000.0,tunis,aouina,115.0,2,2,bon etat,No,Yes,No,No,No,Yes,No,No
176,170000.0,tunis,aouina,47.0,2,1,well-kept,No,No,No,No,No,Yes,Yes,Yes
177,215000.0,tunis,aouina,90.0,2,1,new,Yes,No,No,No,No,No,No,No
178,420000.0,tunis,tunis,120.0,4,2,bon état,No,No,No,No,No,Yes,Yes,Yes
179,320000.0,ariana,soukra,145.0,3,2,New,No,Yes,Yes,No,No,Yes,No,Yes
180,295000.0,tunis,ain zaghouan,143.0,3,2,bon etat,No,Yes,No,No,No,No,No,No
181,230000.0,tunis,aouina,109.0,2,2,bon etat,No,No,No,No,No,Yes,Yes,No
182,294999.0,tunis,aouina,143.0,3,2,bon etat,No,Yes,No,No,No,No,No,No
183,312000.0,ben arous,borj cedria,145.0,4,2,bon etat,No,No,No,No,No,Yes,No,Yes
184,795000.0,tunis,lac 2,203.0,3,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
185,295000.0,tunis,ain zaghouan,115.0,2,1,bon etat,No,Yes,No,No,No,Yes,No,No
186,285000.0,ariana,ennasr 2,83.0,2,1,bon etat,No,Yes,No,No,No,Yes,No,No
187,360000.0,tunis,aouina,110.0,3,2,new,No,Yes,No,No,No,Yes,Yes,No
188,1450000.0,tunis,lac 2,289.0,4,3,new,No,Yes,No,No,No,Yes,Yes,No
189,540000.0,ariana,ennasr,202.0,4,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
190,610000.0,ariana,ennasr,220.0,4,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
191,295000.0,ariana,menzah 6,145.0,4,2,bon etat,No,Yes,No,No,No,Yes,No,No
192,395000.0,ariana,riadh andalous,125.0,3,2,new,No,Yes,No,No,No,Yes,Yes,No
193,360000.0,tunis,aouina,119.0,3,2,bon etat,Yes,No,No,No,No,No,No,No
194,196000.0,tunis,ain zaghouan nord,60.0,2,1,new,No,No,No,No,No,Yes,Yes,Yes
195,175000.0,tunis,tunis,120.0,3,1,bon état,No,No,No,No,No,Yes,Yes,No
196,545000.0,tunis,lac 2,125.0,2,1,well maintained,No,No,No,No,No,Yes,Yes,Yes
197,420000.0,ariana,soukra,140.0,3,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
198,180000.0,tunis,bardo,97.4,2,1,bon etat,No,No,No,No,No,No,No,No
199,350000.0,tunis,ain zaghouan,160.0,3,2,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
200,230000.0,tunis,aouina,78.0,2,1,bon etat,No,No,No,No,No,Yes,No,Yes
201,185000.0,tunis,cite olympique,80.0,2,1,bon etat,No,No,No,No,No,Yes,No,No
202,210000.0,tunis,ain zaghouan nord,73.0,3,1,bon état,No,No,No,No,No,Yes,No,No
203,335000.0,tunis,ain zaghouan nord,70.0,2,2,bon etat,No,Yes,No,No,No,No,No,Yes
204,140000.0,ben arous,ezzahra,100.0,3,1,bon etat,No,No,No,No,No,No,No,No
205,180000.0,tunis,ain zaghouan,74.0,2,1,bon etat,No,No,No,No,No,No,No,No
206,125000.0,ariana,ariana essoughra,80.0,3,1,bon etat,No,No,No,No,No,No,No,No
208,169000.0,ben arous,hammam chott,65.0,2,1,bon etat,No,No,No,No,No,No,No,No
209,350000.0,tunis,ain zaghouan sud,130.0,3,2,well-maintained,No,Yes,No,No,No,No,No,No
210,350000.0,tunis,aouina,155.0,3,2,bon etat,No,Yes,No,No,No,No,No,No
211,160000.0,manouba,manouba,71.0,1,1,bon etat,No,No,No,No,No,Yes,Yes,No
212,145000.0,tunis,tunis,70.0,3,1,well-maintained,No,No,No,No,No,No,No,No
213,430000.0,tunis,jardins de carthage,114.0,2,2,bon etat,No,Yes,No,No,No,No,No,No
214,1550000.0,tunis,menzah 9,750.0,10,3,to be renovated,Yes,No,No,No,No,No,No,No
215,525000.0,ariana,chotrana 1,149.0,3,3,bon etat,No,Yes,No,No,No,Yes,Yes,No
216,410000.0,ariana,soukra,157.0,3,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
217,218000.0,ariana,soukra,51.0,1,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
218,259000.0,ben arous,boumhel,106.0,2,1,bon etat,No,Yes,No,No,No,Yes,No,Yes
219,415000.0,ariana,riadh andalous,108.0,3,2,renovated,No,Yes,No,No,No,Yes,Yes,No
220,230000.0,ariana,ghazela,83.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
221,185000.0,ariana,ghazela,80.0,2,1,bon etat,No,No,No,No,No,Yes,No,No
222,228000.0,ariana,ariana ville,135.0,3,2,bon etat,No,No,No,No,No,Yes,Yes,No
223,175000.0,ariana,ghazela,81.0,3,2,bon etat,No,No,No,No,No,No,No,No
224,350000.0,ariana,ghazela,149.75,3,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
225,255000.0,ariana,ariana ville,75.0,2,1,bon etat,No,No,No,No,No,Yes,Yes,Yes
226,228000.0,ariana,ariana ville,135.0,3,2,renovated,No,Yes,No,No,No,Yes,Yes,No
227,114000.0,ariana,ariana essoughra,70.0,2,2,bon etat,No,No,No,No,No,No,No,Yes
228,280000.0,ben arous,ezzahra,132.0,3,2,new,No,No,No,No,No,Yes,No,Yes
229,1500000.0,tunis,bardo,200.0,3,1,renovated,No,Yes,No,No,No,Yes,No,No
230,220000.0,tunis,cite olympique,100.0,3,1,renovated,No,No,No,No,No,No,No,No
231,290000.0,tunis,ain zaghouan,127.0,2,2,new,No,No,No,No,No,Yes,Yes,Yes
232,750000.0,tunis,ain zaghouan nord,172.0,3,2,new,No,Yes,No,No,No,Yes,Yes,No
233,285000.0,tunis,aouina,95.0,3,1,new,No,No,No,No,No,Yes,Yes,No
234,130000.0,tunis,bardo,65.0,2,1,bon état,No,No,No,No,No,No,No,No
235,210000.0,tunis,ain zaghouan,73.0,2,1,bon etat,No,Yes,No,No,No,Yes,No,No
236,350000.0,tunis,lac 2,68.0,2,1,bon etat,No,No,No,No,No,Yes,Yes,No
237,180000.0,tunis,aouina,60.0,1,1,new,No,No,No,No,No,Yes,Yes,Yes
238,360000.0,ben arous,ezzahra,150.0,3,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
239,790000.0,tunis,lac 2,185.0,3,1,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
240,1069999.0,ariana,soukra,800.0,2,1,bon etat,Yes,No,No,No,No,No,No,No
241,1069999.0,ariana,chotrana 3,800.0,0,2,bon etat,Yes,No,No,No,No,No,No,No
242,320000.0,tunis,aouina,137.0,3,2,bon etat,No,No,No,No,No,No,No,No
243,194000.0,ben arous,mourouj 6,78.0,2,1,bon etat,No,Yes,No,No,No,Yes,No,No
244,315000.0,tunis,aouina,115.0,2,2,bon etat,No,Yes,No,No,No,No,No,No
245,295000.0,tunis,ain zaghouan,143.0,3,2,bon etat,No,Yes,No,No,No,No,No,No
246,320000.0,tunis,aouina,85.0,2,1,new,No,No,No,No,No,Yes,No,No
247,265000.0,tunis,aouina,95.0,2,1,bon etat,No,No,No,No,No,No,No,No
248,260000.0,ariana,jardins el menzah,102.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
249,294999.0,tunis,aouina,143.0,3,2,bon etat,No,Yes,No,No,No,No,No,No
250,150000.0,tunis,menzah,40.0,2,1,bon etat,No,No,No,No,No,Yes,Yes,No
251,530000.0,tunis,lac 2,111.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
252,275000.0,ariana,jardins el menzah,102.0,3,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
253,250000.0,ariana,ennasr 2,75.0,2,1,bon etat,No,No,No,No,No,Yes,Yes,No
254,230000.0,tunis,ain zaghouan,109.0,2,1,bon etat,No,No,No,No,No,No,No,No
255,780000.0,tunis,ain zaghouan sud,462.0,4,1,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
256,215000.0,tunis,aouina,90.0,2,1,bon etat,No,No,No,No,No,Yes,No,No
257,195000.0,ariana,ennasr 2,80.0,2,1,bon etat,No,No,No,No,No,Yes,Yes,No
258,360000.0,ariana,riadh andalous,158.0,3,2,bon etat,No,Yes,No,No,No,No,No,No
259,110000.0,ariana,raoued,70.0,2,1,bon etat,No,No,No,No,No,No,No,No
260,420000.0,ariana,menzah 7,200.0,4,2,bon etat,Yes,Yes,No,No,No,Yes,Yes,No
261,165000.0,manouba,manouba,110.0,3,1,bon etat,No,No,No,No,No,No,No,No
262,350000.0,tunis,ain zaghouan nord,60.0,1,1,new,No,No,Yes,No,No,Yes,Yes,Yes
263,270000.0,ariana,jardins menzah 2,120.0,2,1,bon etat,No,Yes,No,No,No,No,No,No
264,275000.0,ariana,jardins menzah 1,110.0,2,1,bon etat,No,Yes,No,No,No,No,No,No
265,220000.0,tunis,aouina,80.0,2,1,new,No,No,No,No,No,Yes,Yes,Yes
266,240000.0,tunis,lafayette,95.0,2,1,bon etat,No,No,No,No,No,Yes,No,No
267,270000.0,ariana,menzah 7,106.0,3,2,bon état,No,Yes,No,No,No,No,No,Yes
268,240000.0,ben arous,ezzahra,90.0,2,1,bon état,No,Yes,No,No,No,Yes,No,Yes
269,309993.0,tunis,manar 1,120.0,3,1,bon état,No,Yes,No,No,No,Yes,No,Yes
270,680000.0,tunis,ain zaghouan sud,132.0,2,1,new,No,No,No,No,No,Yes,Yes,Yes
271,500000.0,tunis,gammarth,190.0,3,2,bon etat,No,Yes,No,No,No,No,No,No
272,195000.0,tunis,aouina,58.6,2,1,new,No,No,No,No,No,Yes,No,No
273,229000.0,tunis,aouina,81.0,2,1,bon etat,No,No,No,No,No,Yes,No,No
274,410000.0,ariana,ennasr 2,121.0,2,1,well -maintained,No,Yes,No,No,No,Yes,No,Yes
275,485000.0,tunis,menzah 9,173.0,3,3,bon etat,No,Yes,No,No,No,Yes,Yes,No
276,320000.0,tunis,cite olympique,125.0,4,1,bon etat,No,Yes,No,No,No,No,No,No
277,210000.0,tunis,cite olympique,90.0,3,1,bon etat,No,Yes,No,No,No,No,No,No
278,180000.0,ariana,ennasr 2,65.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
279,270000.0,tunis,manar 2,95.0,2,1,bon etat,No,Yes,No,No,No,Yes,No,Yes
280,240000.0,ariana,menzah 5,114.0,3,2,bon etat,No,No,No,No,No,Yes,No,No
281,220000.0,ariana,menzah 7,80.0,2,1,bon etat,No,No,No,No,No,No,No,No
282,120000.0,ariana,borj louzir,78.0,3,1,bon etat,No,No,No,No,No,No,No,No
283,195000.0,ariana,riadh andalous,69.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
284,345000.0,ariana,ennasr 2,147.0,4,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
285,610000.0,ariana,ennasr 2,205.0,5,3,bon etat,No,Yes,No,No,No,Yes,Yes,No
286,300000.0,tunis,tunis,160.0,3,2,bon état,No,No,No,No,No,Yes,Yes,No
