price,transaction,title,city,region,description,surface,bathrooms,rooms
255000.0,sale,S+2 haut standing à la nouvelle soukra,ariana,soukra," A vendre un appartement S+2 haut standing situé dans résidence bien gardée avec des cameras de surveillance et deux ascenseurs à la nouvelle Soukra l'Aouina côté la clinique la Soukra l’appartement est composé d'un salon donnant sur un balcon, d'une kitchenette équipée d'une plaque à gaz, d’une hotte aspirante, et d'un four électrique, de deux chambres à coucher avec des dressings et dont une avec un balcon ainsi qu'une salle de bain avec paroi en verre. l’appartement est équipé d’un chauffage central , d'un visiophone et d’un climatiseur Agence immobilière Hannibal immob Pour plus d'informations merci de me contacter sur : Afficher le numéro / Afficher le numéro ",90,1.0,2
125000.0,sale,a vendre ,ben arous,megrine,"Un appartement est  situé au premier étage d'un immeuble à Hana Megrine , dans un quartier paisible, à proximité de toutes les commodités telles que les écoles, les épiceries et les restaurants. L'entrée s'ouvre sur un salon lumineux, grâce à son ouverture sur un balcon. La cuisine dispose d'une terrasse de 30m², offrant un espace pratique pour  se détendre. La partie nuit comprend deux chambres à coucher et une salle de bain. Cet appartement offre un cadre de vie confortable et pratique dans un quartier résidentiel tranquille à Megrine Hana.      ",117,1.0,2
200000.0,sale,appartement s+2 ,ben arous,megrine,"Cet appartement est situé au premier étage d'une résidence sécurisée à Sidi Rezig, dans un quartier calme , proche de toutes les commodités telles que les écoles, le collège, les pharmacies et les épiceries. La partie jour dispose d'un salon inondé de lumière naturelle grâce à son ouverture sur une terrasse. La cuisine est aménagée. Le compartiment nuit abrite un couloir qui mène aux deux chambres à coucher. Une salle de bain est commune aux deux chambres.",75,1.0,2
890000.0,sale,Vente Immeuble 2 étages à Borj Cedria AFH,ben arous,borj cedria,"Vente immeuble commerciale et résidentielle à Borj Cedria AFH RCD : 500m² espace commercial ( vestiaire, wc 380v ) 1er étage : 2 appartements spacieux S+3 + 1 appartement S+2 Total couvert 920m² Titre bleu propre ",920,3.0,10+
650000.0,sale,S+4 à vendre au Lac 1,tunis,lac 1,"Cet appartement se situe au deuxième étage d'une résidence gardée et sécurisée au plein cœur du Berges du lac 1. L'entrée dessert un salon revêtu et une salle à manger de marbre blanc et lumineux grace à ses ouvertures qui donnent sur un balcon. La cuisine est équipée d'une hotte aspirante, un four électrique, une plaque chauffante, un réfrigérateur, et une machine à laver et aménagée par des éléments de rangements. Elle est annexée par un séchoir. Une salle d'eau invités comblète la partie jour. Le compartiment nuit loge une suite parentale, trois chambres à coucher et deux salles de douche. Toutes les chambres sont menus de placards. Le chauffage et la climatisation sont centraux.",208,4.0,5
270000.0,sale,Un Appartement S+3 de 122 m² à La Nouvelle Medina,ben arous,medina jedida,"Cet Appartement est niché au sein d'une résidence sécurisée, offrant un niveau de confort et de luxe incomparable. Il est situé au troiseme étage. L'entrée donne un hall. Il dessert le salon accueillant, offrant un accès direct sur un balcon pour profiter de l'extérieur en toute convivialité. La cuisine, entièrement équipée et agencée, est accompagnée d'un espace séchoir pratique pour votre quotidien. Une salle d'eau dédiée aux invités. La partie nuit comprend trois chambres à coucher partageant une salle de bain.  l'appartement dispose d'une place de parking au sous-sol vous garantit une sécurité pour votre véhicule. ✅Séchoir ✅Place de Parking ✅Chauffage Central ✅Ascenseur ✅Climatiseur",122,2.0,3
120000.0,sale,APPARTEMENT A VENDRE,ariana,ariana,A vendre appartement S+1 à citer takacim borj louzir ariana Ascenseur parking à l'intérieur Tle Afficher le numéro,54,1.0,2
325000.0,sale,appartement S+3 ENNKHILETTE ,ariana,ghazela,Beau site vous propose a la vente un appartement S+3 d'une Superficie de167m2 en brut S+3 Cuisine équipée Sanitaire rénover Climatisation Chauffage central Titre individuel Une place de parking 4eme étage,167,2.0,4
700000.0,sale,A vendre s3 aux jardins de carthage ,tunis,jardins de carthage,"À Vendre : Appartement S+3 aux jardins de carthage dans une résidence R4 ✨Emplacement : Jardins de carthage ✨Superficie : 199 m² ✨Typologie : S+3 ✨Étage : 1èr étage ✨Composition : ✔️Un salon avec balcon ✔️Une cuisine équipée ✔️Un séchoir. ✔️Une salle d’eau ✔️Une suite parentale avec un dressing, une salle de bain et un balcon. ✔️Deux chambres à coucher avec dressings. ✔️Une salle de bain. ✔️Un balcon. Climatisation ❄️ Chauffage central🔥 une places de parking au sous-sol🚙 💎Prix : 700000 Dinars ☎Pour plus d'informations, veuillez contacter le Afficher le numéro",199,3.0,3
241566.0,sale,Appartement en S+1 à Boumhal Bel Air,ben arous,boumhel,"Offrez-vous un environnement de vie exceptionnel à THE GARDEN BOUMHAL juste a coté de Carrefour market ! SPIV Immobilière vous propose à la vente un appartement S+1 situé au 1er étage de la résidence THE GARDEN. Cet appartement se compose d'un spacieux salon , une cuisine agencée et équipée, une salle de bain, une chambres à coucher avec dressing. Un chauffage central et une place de parking au sous-sol sont disponibles (Prix inclus). Remise des clés Juillet 2024.",63.25,1.0,1
316000.0,sale,"Appartement (B06) en S+1 de 104,70 m² au RDC",ariana,ghazela,"Cet appartement se trouve au RDC , Comme tous les appartements du promoteur immobilier Néapolis Immobilière, il est divisé en une zone jour et une zone nuit. Dans la zone jour cet appartement se compose d'un salon - salle à manger qui ouvre sur une terrasse non couverte et d'un jardin privatif de près de 14m², nous y trouvons également une cuisine qui donne sur un séchoir . Dans la zone nuit l'appartement comprend une salle de bain et une chambre à coucher dotée d'un grand dressing. Un second rangement très pratique a été placé dans le dégagement. Comme tous les appartements de la résidence Floria, l'appartement dispose de la climatisation par split et du chauffage central, il dispose également de fenêtres et porte-fenêtres en aluminium avec des volets roulants électriques. Le promoteur immobilier offre la possibilité d'acquérir, en option, des places de parking et des celliers au sous-sol pour plus de confort et de sécurité. La remise des clé est prévue pour fin 2024",104,1.0,1
275000.0,sale,un s+2 à chotrana 1 à vendre ,ariana,chotrana 1,"Cet appartement est situé au deuxiéme étage d'une résidence calme et sécurisée. La partie jour dispose d'un salon jouissant d'une luminosité grâce à son ouverture à un balcon. Une cuisine aménagée et équipée avec une plaque de cuisson, une hotte aspirante ,elle donne un accès à un séchoir. La partie nuit est composé et deux chambres à coucher dont une avec dressing et elles se partagent une salle de bain commune. Un chauffage central, une climatisation en split system . Un abri est disponible.",125,1.0,2
143000.0,sale,vente appartement s+3 Diar Ben Mahmoud Agba,tunis,agba,"on vous propose en vente un appartement s+3 au 2ème étage situé à Diar Ben Mahmoud Agba. L'appartement est composé de 3 chambres à coucher , salon , cuisine équipée, salle de bain , balcon , séchoir... Prix de vente : 143000 Dinars Pour plus d'informations merci de contacter le Afficher le numéro",95,1.0,4
256457.0,sale,"Appartement (D11) en S+1 de 61,18 m² au premier étage",ariana,chotrana 2,"SPIV Immobilière vous propose à la vente un appartement S+1 situé au premier étage de la résidence THE VILLAGE ,cet appartement se compose d'un spacieux salon , une cuisine agencée et équipée, une salle de bain et une chambres à coucher avec dressing. L'appartement est muni de chauffage et de climatisation central. Les superficies des appartements S+1 au premier étage varient de 60,56 à 73,90 m². Une place de parking est disponible. Prix :3350/ m² Remise des clés Juin 2026.",61,1.0,1
304607.0,sale,"Appartement (E25) en S+1 de 73,90 m² au deuxième étage",ariana,chotrana 2,"SPIV Immobilière vous propose à la vente un appartement S+1 situé au deuxiéme étage de la résidence THE VILLAGE ,cet appartement se compose d'un spacieux salon , une cuisine équipée d'une plaque, hotte aspirante et four électrique, une salle de bain,chauffage central et une place de parking est disponibles. Les superficies des appartements S+1 au deuxiéme étage varient de 60,58 à 74,51 m². Prix :3350 m² Remise des clés Juin 2026.",74,1.0,1
220000.0,sale,Un appartement S+2 à vendre à L'aouina,tunis,aouina,#venteimmobiliere Notre agence immobiliére Mami immo vous propose La Vente d'un appartement S+2 à L'aouina . 🟢Superficie : 86 m² 🔘Un salon avec balcon 🔘Une cuisine avec séchoir 🔘2 Chambres à coucher 🔘Une salle de bain commune 🔴Prix : 220 MD négociable ➡Pour plus d'informations⬅ N'hesitez pas de nous contacter sur : 📲 Afficher le numéro / Afficher le numéro 📧[email protected],86,1.0,2
345000.0,sale,S+4 de 160 m² à ENNASR 1 ,ariana,ennasr 2,"Cet appartement occupe le rez-de-chaussée d'un immeuble à proximité de kiosque Agile ENNASR 1. Le hall d'entrée dessert le salon lumineux grâce à son ouverture sur un balcon. La cuisine est entièrement aménagée et équipée d'un plaque chauffante et une hotte aspirante. Celle-ci ouvre sur un séchoir exploitable. Une salle d'eau complète la partie nuit. Le compartiment nuit se compose de quatre chambres à coucher, dont une avec balcon qui se partagent une salle de bain commune. Chauffage central à disposition. ",160,2.0,4
380000.0,sale,S+2 en vente à chotrana 1,ariana,chotrana 1,"Cet appartement est situé à chotrana 1 dans un quartier résidentiel et calme. Il occupe le rez-de-chaussée d'une résidence érigée sur deux niveaux. L'entrée  donne sur une pièce à vivre aéré et lumineuse grâce à ses baies vitrées. Dans la continuité, la cuisine est équipée et aménagée par des éléments de rangement. Elle donne accès au séchoir. La partie nuit loge deux chambres à coucher avec leur propre dressing. Elles se partagent une salle de bain commune. L'appartement est équipé de chauffage central et de la climatisation en split système. Une place de parking au sous-sol est incluse dans le prix du vente.",100,1.0,2
450000.0,sale,S+3 à vendre à la marsa cité el hana ,tunis,marsa,"Cet appartement est situé au deuxième étage d’une résidence sécurisée à La Marsa. Le hall d'entrée conduit à la pièce de réception, offrant un espace de vie convivial pour aménager un salon et une salle à manger, ouvrant sur un balcon. Dans la continuité, la cuisine est aménagée avec des éléments de rangement, donnant accès au séchoir. Une salle d'eau pour les invités est également disponible. La partie nuit comprend trois chambres à coucher, chacune avec dressing, partageant une salle de bain commune. L'appartement est équipé de chauffage central.",160,2.0,3
148000.0,sale,S+2 de 98m² à cité sahafa,ariana,ghazela,"Cet appartement est situé dans une résidence sécurisée. L'appartement se compose d'un salon spacieux qui ouvre sur un balcon. La cuisine est aménagée par un espace de rangement, elle est complétée par un séchoir exploitable. La partie nuit dessert deux chambres à coucher qui se partagent une salle de bain commune. Cet appartement est équipé du chauffage central.",98,1.0,2
330000.0,sale,a vendre ,ben arous,megrine,"Cet élégant appartement est situé au quatrième étage d'une résidence sécurisée à Mégrine Coteau, à proximité de toutes les commodités telles que les écoles, les épiceries et les restaurants. La partie jour dispose d'un salon inondé de lumière naturelle grâce à son ouverture sur une terrasse. La cuisine est bien aménagée et entièrement équipée, donnant également accès à une terrasse. Une salle d'eau pour les invités est disponible. Le compartiment nuit abrite trois chambres à coucher, chacune avec un dressing. Une salle de bain commune dessert les trois chambres. Une place de parking et un cellier sont disponibles au sous-sol. Cet appartement allie confort et fonctionnalité dans un quartier résidentiel de Mégrine Coteau.",100,2.0,3
