surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
80.0,El Menzah 4,3.0,1.0,1,0,0,0,0,0,0,260000.0
232.0,Berge Du Lac,3.0,2.0,1,0,0,0,1,1,1,990000.0
177.0,Ain Zaghouan,2.0,2.0,1,1,0,0,1,1,1,675000.0
136.0,El Aouina,3.0,1.0,1,0,0,0,0,1,1,330000.0
58.0,El Aouina,1.0,2.0,1,0,0,0,0,1,1,120000.0
123.0,El Manar 2,3.0,2.0,1,0,0,0,1,1,1,395000.0
67.0,Ain Zaghouan,1.0,1.0,0,0,0,0,1,1,1,208000.0
116.0,Marsa Safsaf,4.0,2.0,0,0,0,0,0,1,1,700000.0
102.0,Le Kram,1.0,1.0,0,0,1,1,0,1,1,275000.0
148.0,Ariana,3.0,2.0,0,0,0,0,0,1,0,180000.0
152.0,El Aouina,4.0,2.0,0,0,0,0,1,1,1,365000.0
85.0,Bab Bhar,3.0,1.0,0,0,0,0,0,0,0,195000.0
90.0,Bab Bhar,2.0,1.0,0,0,0,0,0,0,0,135000.0
241.0,Jardins de Carthage,3.0,3.0,1,0,0,0,1,1,1,753000.0
138.0,El Aouina,3.0,2.0,1,0,0,0,1,1,1,290000.0
114.0,El Manar 1,3.0,2.0,0,0,0,0,0,0,0,275000.0
103.0,Ariana,3.0,2.0,0,0,0,0,1,1,1,175000.0
130.0,La Soukra,2.0,1.0,1,0,0,0,1,1,0,360000.0
85.0,Ain Zaghouan,1.0,1.0,1,0,0,0,1,1,1,395000.0
68.0,La Soukra,1.0,1.0,0,0,0,0,1,1,0,155000.0
67.0,La Soukra,1.0,1.0,0,0,0,0,1,1,1,230000.0
63.0,El Aouina,1.0,1.0,0,0,0,0,0,1,1,185000.0
103.0,Jardins de Carthage,3.0,1.0,0,1,0,0,1,1,1,572000.0
70.0,El Manar 2,1.0,1.0,0,0,0,0,0,0,0,230000.0
165.0,Cite El Khadra,3.0,2.0,1,0,0,0,1,1,0,385000.0
195.0,La Soukra,3.0,2.0,1,0,0,1,0,1,1,625000.0
75.0,Chotrana 1,1.0,1.0,0,0,0,0,1,1,1,155000.0
97.0,Zone urbaine nord,3.0,2.0,1,0,0,0,1,1,0,450000.0
110.0,El Aouina,2.0,1.0,0,0,0,0,0,1,1,272000.0
68.0,Berge Du Lac,1.0,1.0,0,0,0,0,0,1,0,170000.0
125.0,Bab Bhar,3.0,2.0,0,0,0,0,0,1,1,240000.0
75.0,Berge Du Lac,1.0,1.0,1,1,0,1,1,1,1,380000.0
110.0,Ain Zaghouan,2.0,2.0,0,0,0,0,1,1,1,370000.0
121.0,Ain Zaghouan,3.0,2.0,1,0,0,0,1,1,1,505000.0
43.0,Ain Zaghouan,1.0,1.0,1,0,0,0,1,1,0,250000.0
60.0,Cite El Khadra,2.0,1.0,0,0,0,0,0,0,0,120000.0
168.0,La Soukra,3.0,2.0,1,0,0,0,1,1,0,330000.0
118.0,La Soukra,2.0,2.0,1,0,0,1,1,1,1,475000.0
198.0,Ain Zaghouan,2.0,1.0,0,0,0,0,1,1,1,710000.0
102.0,Cite El Ghazala 1,2.0,1.0,1,0,0,0,1,1,1,240000.0
114.0,El Manar 1,3.0,2.0,0,0,0,0,0,1,0,265000.0
50.0,Cite Ennasr 2,1.0,1.0,0,0,0,0,0,1,1,257000.0
105.0,Bab Bhar,2.0,2.0,0,0,0,0,0,0,0,155000.0
