category,room_count,bathroom_count,size,type,price,city,region,log_price
Appartements,3.0,2.0,125.0,À Vendre,210000.0,Ariana,Ghazela,5.32221929473392
Appartements,4.0,2.0,157.0,À Vendre,441000.0,Ariana,Ennasr,5.644438589467838
Appartements,3.0,2.0,187.0,À Vendre,570000.0,Ariana,La Soukra,5.755874855672492
Appartements,1.0,1.0,57.0,À Vendre,145000.0,Ariana,Jardins D'el Menzah,5.161368002234975
Appartements,2.0,2.0,126.0,À Vendre,330000.0,Ariana,Jardins D'el Menzah,5.518513939877887
Appartements,3.0,2.0,163.0,À Vendre,340000.0,Ariana,Ennasr,5.531478917042255
Appartements,2.0,1.0,105.0,À Vendre,220000.0,Ariana,Ennasr,5.342422680822207
Appartements,4.0,1.0,153.0,À Vendre,360000.0,Ariana,Ariana,5.556302500767287
Appartements,2.0,1.0,120.0,À Vendre,230000.0,Ariana,Jardins D'el Menzah,5.361727836017593
Appartements,2.0,1.0,100.0,À Vendre,90000.0,Ariana,Borj Louzir,4.954242509439325
Appartements,3.0,2.0,140.0,À Vendre,290000.0,Ariana,La Soukra,5.4623979978989565
Appartements,4.0,2.0,170.0,À Vendre,295000.0,Ariana,Ennasr,5.469822015978163
Appartements,3.0,1.0,76.0,À Vendre,120000.0,Ariana,Ariana,5.079181246047625
Appartements,3.0,1.0,160.0,À Vendre,310000.0,Ariana,Ennasr,5.491361693834273
Appartements,4.0,1.0,130.0,À Vendre,95000.0,Ariana,Borj Louzir,4.977723605288848
Appartements,2.0,2.0,100.0,À Vendre,310000.0,Ariana,La Soukra,5.491361693834273
Appartements,2.0,1.0,72.0,À Vendre,160000.0,Ariana,Chotrana,5.204119982655925
Appartements,3.0,1.0,110.0,À Vendre,220000.0,Ariana,Borj Louzir,5.342422680822207
Appartements,3.0,1.0,170.0,À Vendre,350000.0,Ariana,Ennasr,5.544068044350276
Appartements,2.0,1.0,120.0,À Vendre,280000.0,Ariana,La Soukra,5.447158031342219
Appartements,3.0,2.0,155.0,À Vendre,300000.0,Ariana,La Soukra,5.477121254719663
Appartements,3.0,2.0,175.0,À Vendre,440000.0,Ariana,Autres villes,5.643452676486188
Appartements,3.0,1.0,170.0,À Vendre,350000.0,Ariana,Ennasr,5.544068044350276
Appartements,2.0,2.0,140.0,À Vendre,240000.0,Ariana,La Soukra,5.380211241711606
Appartements,4.0,1.0,100.0,À Vendre,170000.0,Ariana,Borj Louzir,5.230448921378274
Appartements,4.0,3.0,174.0,À Vendre,500000.0,Ariana,La Soukra,5.698970004336019
Appartements,2.0,1.0,107.0,À Vendre,220000.0,Ariana,La Soukra,5.342422680822207
Appartements,2.0,2.0,122.0,À Vendre,268000.0,Ariana,La Soukra,5.4281347940287885
Appartements,2.0,2.0,115.0,À Vendre,310000.0,Ariana,La Soukra,5.491361693834273
Appartements,3.0,2.0,200.0,À Vendre,355000.0,Ariana,Ennasr,5.550228353055094
Appartements,2.0,1.0,90.0,À Vendre,135000.0,Ariana,Borj Louzir,5.130333768495007
Appartements,3.0,3.0,187.0,À Vendre,465000.0,Ariana,Ennasr,5.6674529528899535
Appartements,3.0,3.0,191.0,À Vendre,370000.0,Ariana,Ennasr,5.568201724066995
Appartements,2.0,1.0,120.0,À Vendre,270000.0,Ariana,Ennasr,5.431363764158987
Appartements,3.0,2.0,169.0,À Vendre,410000.0,Ariana,Ennasr,5.612783856719736
Appartements,2.0,2.0,124.0,À Vendre,284000.0,Ariana,Chotrana,5.453318340047038
Appartements,2.0,1.0,60.0,À Vendre,180000.0,Ariana,Ennasr,5.2552725051033065
Appartements,1.0,1.0,72.0,À Vendre,1900000.0,Ariana,Borj Louzir,6.278753600952829
Appartements,2.0,1.0,90.0,À Vendre,160000.0,Ariana,Borj Louzir,5.204119982655925
Appartements,1.0,1.0,58.0,À Vendre,109000.0,Ariana,Chotrana,5.037426497940624
Appartements,3.0,1.0,160.0,À Vendre,350000.0,Ariana,Ennasr,5.544068044350276
Appartements,4.0,2.0,253.0,À Vendre,2400000.0,Ariana,Ennasr,6.380211241711606
Appartements,3.0,1.0,140.0,À Vendre,300000.0,Ariana,Ennasr,5.477121254719663
