Locality,Surface,Price,rooms,bathrooms
El Menzah,100.0,220000.0,3.0,2
Bab Bhar,168.0,240000.0,3.0,3
El Mourouj,95.0,115000.0,2.0,1
La Marsa,135.0,360000.0,3.0,2
Ariana Ville,80.0,75000.0,2.0,1
Ariana Ville,158.0,355000.0,3.0,3
La Marsa,100.0,250000.0,2.0,1
La Marsa,117.0,380000.0,3.0,2
La Soukra,176.0,575000.0,3.0,3
La Soukra,150.0,437000.0,3.0,3
Ariana Ville,24.0,260000.0,1.0,1
Ariana Ville,87.0,150000.0,2.0,1
La Goulette,144.0,550000.0,3.0,2
Mnihla,127.0,150000.0,3.0,2
La Goulette,78.0,210000.0,2.0,1
Ben Arous,95.0,120000.0,2.0,1
Ariana Ville,80.0,112000.0,2.0,1
La Soukra,123.0,450000.0,3.0,2
Bab Bhar,80.0,148000.0,2.0,1
Bab Bhar,64.0,180000.0,1.0,1
La Marsa,122.0,510000.0,2.0,2
Ariana Ville,120.0,347000.0,2.0,2
El Mourouj,90.0,155000.0,2.0,1
Bab Bhar,200.0,770000.0,4.0,3
El Omrane,154.0,320000.0,3.0,3
Ariana Ville,160.0,370000.0,3.0,3
Ariana Ville,146.0,370000.0,3.0,2
Bou Mhel El Bassatine,108.0,190000.0,3.0,2
Ariana Ville,58.0,185000.0,1.0,1
Raoued,115.0,313000.0,2.0,2
Ain Zaghouan,118.0,291000.0,2.0,2
Ain Zaghouan,95.0,195000.0,2.0,1
La Soukra,120.0,275000.0,3.0,2
Ariana Ville,105.0,280000.0,2.0,2
Hammam Chatt,105.0,120000.0,2.0,2
Ezzahra,100.0,210000.0,3.0,2
La Marsa,192.0,360000.0,4.0,3
Sidi El Bechir,130.0,220000.0,3.0,2
Bab Bhar,130.0,250000.0,3.0,2
Nouvelle Medina,110.0,215000.0,2.0,2
Hammam Lif,124.0,175000.0,3.0,2
Nouvelle Medina,80.0,120000.0,2.0,1
Ariana Ville,91.0,270000.0,2.0,1
Ain Zaghouan,190.0,930000.0,4.0,3
La Marsa,179.0,395000.0,4.0,3
Raoued,110.0,220000.0,2.0,2
Raoued,89.0,195000.0,2.0,1
Ariana Ville,80.0,125000.0,2.0,1
Ain Zaghouan,156.0,450000.0,3.0,3
Ariana Ville,139.0,360000.0,3.0,2
La Soukra,142.0,576000.0,3.0,2
La Goulette,150.0,305000.0,3.0,3
Ariana Ville,150.0,280000.0,3.0,3
Ariana Ville,35.0,140000.0,1.0,1
Ain Zaghouan,50.0,160000.0,1.0,1
Ariana Ville,121.0,190000.0,3.0,2
Ain Zaghouan,130.0,520000.0,3.0,2
El Menzah,117.0,289000.0,2.0,2
Le Bardo,76.0,115000.0,2.0,1
Ain Zaghouan,135.0,305000.0,3.0,2
Ain Zaghouan,150.0,820000.0,3.0,3
La Goulette,100.0,300000.0,3.0,2
La Soukra,100.0,320000.0,3.0,2
Ariana Ville,148.0,320000.0,3.0,2
La Soukra,150.0,357000.0,3.0,3
La Soukra,100.0,215000.0,3.0,2
El Menzah,190.0,300000.0,4.0,3
Ariana Ville,46.0,170000.0,1.0,1
Ariana Ville,120.0,360000.0,3.0,2
La Soukra,109.0,200000.0,3.0,2
El Mourouj,115.0,195000.0,3.0,2
La Soukra,157.0,525000.0,3.0,3
Ariana Ville,160.0,500000.0,3.0,3
Sidi Hassine,130.0,280000.0,3.0,2
Ariana Ville,55.0,195000.0,1.0,1
Ben Arous,60.0,90000.0,1.0,1
La Soukra,89.0,175000.0,2.0,1
Ariana Ville,200.0,530000.0,4.0,3
Hammam Chatt,135.0,250000.0,3.0,2
El Mourouj,150.0,340000.0,3.0,3
El Mourouj,128.0,195000.0,3.0,2
La Soukra,120.0,350000.0,2.0,2
La Marsa,118.0,291000.0,2.0,2
Ain Zaghouan,35.0,115000.0,1.0,1
Ain Zaghouan,59.0,250000.0,1.0,1
Sidi El Bechir,137.0,320000.0,3.0,2
Le Bardo,83.0,180000.0,2.0,1
Bab Bhar,100.0,200000.0,3.0,2
El Ouerdia,154.0,278000.0,3.0,3
El Mourouj,80.0,137000.0,2.0,1
Raoued,136.0,200000.0,3.0,2
Hammam Chatt,120.0,320000.0,3.0,2
La Marsa,110.0,280000.0,3.0,2
Ariana Ville,85.0,88000.0,2.0,1
La Soukra,57.0,235000.0,1.0,1
Ain Zaghouan,150.0,490000.0,3.0,3
Mornaguia,72.0,105000.0,2.0,1
Ariana Ville,148.0,280000.0,3.0,2
Carthage,105.0,450000.0,3.0,2
La Marsa,118.0,291000.0,2.0,2
Cite El Khadra,70.0,140000.0,2.0,1
Bab Souika,200.0,310000.0,4.0,3
Ain Zaghouan,132.0,422000.0,3.0,2
Nouvelle Medina,98.0,175000.0,2.0,1
La Marsa,190.0,480000.0,4.0,3
La Soukra,135.0,280000.0,3.0,2
La Soukra,132.0,310000.0,3.0,2
Raoued,110.0,230000.0,3.0,2
Ariana Ville,128.0,370000.0,3.0,2
Sidi Hassine,100.0,142000.0,3.0,2
El Mourouj,72.0,140000.0,2.0,1
Mnihla,115.0,295000.0,3.0,2
Ain Zaghouan,160.0,620000.0,3.0,3
La Marsa,129.0,590000.0,3.0,2
La Soukra,164.0,300000.0,3.0,3
Megrine,45.0,80000.0,1.0,1
Ariana Ville,130.0,220000.0,3.0,2
Bab Bhar,185.0,525000.0,4.0,3
La Soukra,180.0,485000.0,4.0,3
El Menzah,100.0,220000.0,3.0,2
Ariana Ville,140.0,285000.0,3.0,2
Cite El Khadra,178.0,385000.0,4.0,3
La Marsa,78.0,215000.0,2.0,1
Ariana Ville,187.0,467000.0,4.0,3
El Mourouj,100.0,200000.0,3.0,2
Ariana Ville,180.0,400000.0,4.0,3
Sidi El Bechir,98.0,200000.0,2.0,1
La Marsa,129.0,370000.0,2.0,2
Ariana Ville,64.0,179000.0,1.0,1
Mannouba,93.0,180000.0,2.0,1
El Mourouj,128.0,192000.0,3.0,2
Ain Zaghouan,110.0,300000.0,3.0,2
La Soukra,109.0,160000.0,3.0,2
Bab Bhar,105.0,130000.0,3.0,2
Ariana Ville,152.0,280000.0,3.0,3
La Marsa,85.0,220000.0,2.0,1
Sidi El Bechir,70.0,83000.0,2.0,1
El Menzah,187.0,450000.0,4.0,3
Ain Zaghouan,135.0,295000.0,3.0,2
Le Bardo,122.0,280000.0,3.0,2
El Omrane Superieur,160.0,250000.0,3.0,3
El Menzah,140.0,340000.0,3.0,2
Cite El Khadra,110.0,160000.0,3.0,2
Mnihla,83.0,190000.0,2.0,1
Ain Zaghouan,116.0,300000.0,3.0,2
Ariana Ville,120.0,280000.0,3.0,2
Ariana Ville,100.0,430000.0,3.0,2
Hammam Chatt,87.0,140000.0,2.0,1
Ariana Ville,155.0,240000.0,3.0,3
Le Bardo,110.0,210000.0,3.0,2
Mannouba,90.0,158000.0,2.0,1
El Kram,116.0,671000.0,1.0,1
Ariana Ville,100.0,210000.0,2.0,1
Sidi El Bechir,100.0,170000.0,3.0,2
Mornaguia,110.0,145000.0,3.0,2
Ain Zaghouan,186.0,850000.0,4.0,3
La Marsa,150.0,345000.0,3.0,3
La Marsa,120.0,400000.0,3.0,2
La Soukra,152.0,460000.0,3.0,3
La Marsa,141.0,331000.0,2.0,2
Ariana Ville,50.0,160000.0,1.0,1
Ben Arous,80.0,145000.0,2.0,1
La Soukra,152.0,290000.0,3.0,3
La Soukra,100.0,145000.0,2.0,1
La Marsa,111.0,320000.0,3.0,2
Nouvelle Medina,80.0,130000.0,2.0,1
Ariana Ville,135.0,220000.0,3.0,2
Ariana Ville,47.0,125000.0,1.0,1
Ain Zaghouan,127.0,620000.0,3.0,2
Ain Zaghouan,133.0,520000.0,2.0,2
Nouvelle Medina,120.0,210000.0,2.0,2
La Marsa,183.0,1006000.0,4.0,3
Ain Zaghouan,170.0,730000.0,3.0,3
