category,room_count,bathroom_count,size,type,price,city,region
Appartements,3.0,2.0,170.0,À Vendre,430000.0,2,31
Appartements,1.0,1.0,45.0,À Vendre,80000.0,2,16
Appartements,3.0,1.0,98.0,À Vendre,130000.0,2,72
Appartements,3.0,1.0,75.0,À Vendre,130000.0,2,83
Appartements,2.0,1.0,95.0,À Vendre,220000.0,2,16
Appartements,2.0,1.0,126.0,À Vendre,330000.0,2,52
Appartements,2.0,1.0,100.0,À Vendre,223000.0,2,16
Appartements,2.0,1.0,60.0,À Vendre,170000.0,2,16
Appartements,2.0,1.0,108.0,À Vendre,210000.0,2,83
Appartements,2.0,1.0,170.0,À Vendre,330000.0,2,31
Appartements,1.0,1.0,45.0,À Vendre,120000.0,2,31
Appartements,3.0,1.0,140.0,À Vendre,275000.0,2,52
Appartements,1.0,1.0,60.0,À Vendre,155000.0,2,31
Appartements,3.0,1.0,117.0,À Vendre,270000.0,2,16
Appartements,2.0,1.0,80.0,À Vendre,195000.0,2,36
Appartements,2.0,1.0,128.0,À Vendre,365000.0,2,16
Appartements,1.0,1.0,60.0,À Vendre,170000.0,2,78
Appartements,3.0,1.0,140.0,À Vendre,230000.0,2,52
Appartements,2.0,1.0,80.0,À Vendre,119000.0,2,83
Appartements,1.0,1.0,60.0,À Vendre,100000.0,2,16
Appartements,4.0,2.0,200.0,À Vendre,420000.0,2,52
Appartements,4.0,1.0,121.0,À Vendre,140000.0,2,63
Appartements,4.0,3.0,260.0,À Vendre,840000.0,2,16
Appartements,3.0,1.0,100.0,À Vendre,300000.0,2,28
Appartements,2.0,1.0,74.0,À Vendre,180000.0,2,52
Appartements,3.0,1.0,75.0,À Vendre,110000.0,2,83
Appartements,4.0,1.0,165.0,À Vendre,310000.0,2,28
Appartements,3.0,2.0,140.0,À Vendre,275000.0,2,31
Appartements,2.0,1.0,80.0,À Vendre,173000.0,2,31
Appartements,3.0,1.0,100.0,À Vendre,265000.0,2,28
Appartements,3.0,1.0,152.0,À Vendre,260000.0,2,72
Appartements,1.0,1.0,67.0,À Vendre,160000.0,2,32
Appartements,3.0,1.0,74.0,À Vendre,180000.0,2,52
Appartements,3.0,1.0,135.0,À Vendre,345000.0,2,31
Appartements,2.0,2.0,125.0,À Vendre,312000.0,2,16
Appartements,3.0,1.0,96.0,À Vendre,165000.0,2,16
Appartements,2.0,1.0,91.0,À Vendre,185000.0,2,72
Appartements,1.0,1.0,63.0,À Vendre,175000.0,2,16
Appartements,2.0,1.0,100.0,À Vendre,250000.0,2,31
Appartements,2.0,1.0,133.0,À Vendre,356000.0,2,31
Appartements,2.0,1.0,81.0,À Vendre,260000.0,2,31
Appartements,2.0,1.0,85.0,À Vendre,150000.0,2,28
Appartements,3.0,1.0,112.0,À Vendre,185000.0,2,83
Appartements,2.0,1.0,50.0,À Vendre,68000.0,2,83
Appartements,3.0,1.0,100.0,À Vendre,270000.0,2,16
Appartements,3.0,1.0,250.0,À Vendre,950000.0,2,16
Appartements,4.0,2.0,186.0,À Vendre,380000.0,2,31
Appartements,2.0,1.0,70.0,À Vendre,170000.0,2,16
Appartements,2.0,2.0,124.0,À Vendre,229400.0,2,32
Appartements,3.0,2.0,160.0,À Vendre,270000.0,2,16
Appartements,2.0,1.0,128.0,À Vendre,360000.0,2,16
Appartements,2.0,1.0,131.0,À Vendre,181000.0,2,16
Appartements,2.0,1.0,144.0,À Vendre,430000.0,2,16
Appartements,3.0,1.0,110.0,À Vendre,120000.0,2,72
Appartements,3.0,1.0,140.0,À Vendre,290000.0,2,32
Appartements,3.0,2.0,96.0,À Vendre,220000.0,2,28
Appartements,2.0,1.0,100.0,À Vendre,220000.0,2,72
Appartements,1.0,1.0,70.0,À Vendre,195000.0,2,16
Appartements,2.0,2.0,116.0,À Vendre,310000.0,2,78
Appartements,4.0,2.0,222.0,À Vendre,530000.0,2,31
Appartements,3.0,2.0,170.0,À Vendre,415000.0,2,31
Appartements,3.0,2.0,200.0,À Vendre,530000.0,2,31
Appartements,2.0,1.0,105.0,À Vendre,205000.0,2,32
Appartements,2.0,1.0,106.0,À Vendre,240000.0,2,16
Appartements,3.0,1.0,113.0,À Vendre,220000.0,2,16
Appartements,1.0,1.0,31.0,À Vendre,95000.0,2,45
Appartements,2.0,1.0,94.0,À Vendre,130000.0,2,32
Appartements,2.0,1.0,105.0,À Vendre,215000.0,2,32
Appartements,3.0,1.0,100.0,À Vendre,107000.0,2,83
Appartements,4.0,3.0,157.0,À Vendre,360000.0,2,31
Appartements,3.0,3.0,200.0,À Vendre,485000.0,2,31
Appartements,3.0,2.0,150.0,À Vendre,395000.0,2,31
Appartements,3.0,2.0,205.0,À Vendre,350000.0,2,32
Appartements,2.0,2.0,205.0,À Vendre,350000.0,2,32
Appartements,2.0,1.0,111.0,À Vendre,220000.0,2,31
Appartements,3.0,2.0,169.0,À Vendre,360000.0,2,31
Appartements,3.0,2.0,130.0,À Vendre,245000.0,2,72
Appartements,3.0,2.0,135.0,À Vendre,335000.0,2,28
Appartements,3.0,2.0,140.0,À Vendre,260000.0,2,16
Appartements,3.0,1.0,170.0,À Vendre,405000.0,2,16
Appartements,3.0,1.0,76.0,À Vendre,115000.0,2,16
Appartements,2.0,1.0,75.0,À Vendre,98000.0,2,83
Appartements,2.0,1.0,75.0,À Vendre,120000.0,2,36
Appartements,3.0,1.0,154.0,À Vendre,320000.0,2,16
Appartements,3.0,1.0,65.0,À Vendre,95000.0,2,32
Appartements,2.0,1.0,130.0,À Vendre,320000.0,2,16
Appartements,4.0,1.0,100.0,À Vendre,280000.0,2,31
Appartements,1.0,1.0,55.0,À Vendre,145000.0,2,52
Appartements,2.0,1.0,130.0,À Vendre,280000.0,2,52
Appartements,4.0,3.0,300.0,À Vendre,390000.0,2,45
Appartements,2.0,2.0,121.0,À Vendre,328000.0,2,16
Appartements,1.0,1.0,64.0,À Vendre,161000.0,2,28
Appartements,2.0,2.0,132.0,À Vendre,300000.0,2,16
Appartements,2.0,1.0,128.0,À Vendre,237000.0,2,16
Appartements,2.0,2.0,135.0,À Vendre,328000.0,2,16
Appartements,2.0,2.0,146.0,À Vendre,350000.0,2,31
Appartements,3.0,2.0,131.0,À Vendre,370000.0,2,31
Appartements,3.0,1.0,126.0,À Vendre,330000.0,2,52
Appartements,3.0,1.0,90.0,À Vendre,200000.0,2,36
Appartements,2.0,1.0,80.0,À Vendre,125000.0,2,45
Appartements,3.0,1.0,139.0,À Vendre,245000.0,2,16
Appartements,2.0,1.0,120.0,À Vendre,100000.0,2,16
Appartements,3.0,1.0,128.0,À Vendre,240000.0,2,16
Appartements,1.0,1.0,45.0,À Vendre,145000.0,2,66
Appartements,1.0,1.0,68.0,À Vendre,170000.0,2,31
Appartements,1.0,1.0,67.0,À Vendre,178000.0,2,31
Appartements,4.0,3.0,167.0,À Vendre,370000.0,2,31
Appartements,3.0,1.0,98.0,À Vendre,200000.0,2,83
Appartements,2.0,2.0,116.0,À Vendre,160000.0,2,78
Appartements,2.0,2.0,140.0,À Vendre,180000.0,2,83
Appartements,2.0,1.0,75.0,À Vendre,190000.0,2,31
Appartements,3.0,3.0,191.0,À Vendre,529000.0,2,16
Appartements,3.0,1.0,178.0,À Vendre,369510.0,2,31
Appartements,4.0,1.0,105.0,À Vendre,180000.0,2,83
Appartements,2.0,1.0,115.0,À Vendre,255000.0,2,31
Appartements,4.0,1.0,110.0,À Vendre,220000.0,2,16
Appartements,2.0,1.0,80.0,À Vendre,120000.0,2,83
Appartements,3.0,2.0,112.0,À Vendre,260000.0,2,31
Appartements,2.0,1.0,124.0,À Vendre,265000.0,2,52
Appartements,3.0,2.0,122.0,À Vendre,280000.0,2,16
Appartements,2.0,1.0,65.0,À Vendre,140000.0,2,32
Appartements,4.0,3.0,163.0,À Vendre,360000.0,2,31
Appartements,3.0,1.0,105.0,À Vendre,158000.0,2,83
Appartements,4.0,2.0,307.0,À Vendre,1300000.0,2,16
Appartements,3.0,1.0,90.0,À Vendre,160000.0,2,52
Appartements,4.0,3.0,150.0,À Vendre,350000.0,2,16
Appartements,2.0,1.0,110.0,À Vendre,250000.0,2,32
Appartements,2.0,1.0,90.0,À Vendre,200000.0,2,28
Appartements,2.0,2.0,110.0,À Vendre,220000.0,2,72
Appartements,3.0,2.0,158.0,À Vendre,340000.0,2,16
Appartements,3.0,1.0,120.0,À Vendre,300000.0,2,32
Appartements,3.0,1.0,100.0,À Vendre,230000.0,2,31
Appartements,1.0,1.0,67.0,À Vendre,179000.0,2,31
Appartements,3.0,3.0,156.0,À Vendre,335000.0,2,31
Appartements,3.0,3.0,199.0,À Vendre,410000.0,2,31
Appartements,2.0,1.0,76.0,À Vendre,115000.0,2,45
Appartements,3.0,2.0,188.0,À Vendre,760000.0,2,31
Appartements,3.0,1.0,70.0,À Vendre,110000.0,2,72
Appartements,2.0,1.0,100.0,À Vendre,215000.0,2,16
Appartements,1.0,1.0,70.0,À Vendre,123000.0,2,72
Appartements,1.0,1.0,55.0,À Vendre,125000.0,2,32
Appartements,3.0,2.0,170.0,À Vendre,350000.0,2,31
Appartements,3.0,2.0,147.0,À Vendre,270000.0,2,28
Appartements,3.0,3.0,186.0,À Vendre,465000.0,2,16
Appartements,3.0,1.0,180.0,À Vendre,320000.0,2,31
Appartements,2.0,1.0,75.0,À Vendre,110000.0,2,45
Appartements,4.0,2.0,180.0,À Vendre,430000.0,2,32
Appartements,2.0,1.0,56.0,À Vendre,158000.0,2,52
Appartements,1.0,1.0,500.0,À Vendre,200000.0,2,78
Appartements,3.0,1.0,120.0,À Vendre,240000.0,2,16
Appartements,2.0,1.0,92.0,À Vendre,190000.0,2,32
Appartements,4.0,2.0,175.0,À Vendre,300000.0,2,31
Appartements,3.0,1.0,147.0,À Vendre,350000.0,2,31
Appartements,3.0,1.0,126.0,À Vendre,255000.0,2,72
Appartements,4.0,1.0,116.0,À Vendre,165000.0,2,28
Appartements,2.0,1.0,65.0,À Vendre,180000.0,2,31
Appartements,2.0,1.0,104.0,À Vendre,205000.0,2,31
Appartements,2.0,1.0,111.0,À Vendre,154000.0,2,78
Appartements,2.0,2.0,131.0,À Vendre,181000.0,2,78
Appartements,3.0,1.0,190.0,À Vendre,340000.0,2,16
Appartements,1.0,1.0,70.0,À Vendre,120000.0,2,31
Appartements,3.0,2.0,162.0,À Vendre,356994.0,2,31
Appartements,3.0,1.0,82.0,À Vendre,230000.0,2,52
Appartements,3.0,2.0,148.0,À Vendre,420000.0,2,16
Appartements,2.0,1.0,112.0,À Vendre,190000.0,2,16
Appartements,2.0,1.0,67.0,À Vendre,87000.0,2,83
Appartements,4.0,2.0,99.0,À Vendre,200000.0,2,83
Appartements,3.0,2.0,500.0,À Vendre,390000.0,2,83
