,Governorate,Delegation,Locality,Nature,Type of Real Estate,Surface,Price,Inserted On
598,tunis,marsa,La Marsa,Sale,3-room apartment,145.0,400000.0,22/11/2023
599,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,214.0,750000.0,28/10/2023
600,tunis,kabbaria,El Kabbaria,Sale,3-room apartment,100.0,150000.0,05/11/2023
601,tunis,cite el khadra,Cite El Khadra,Sale,3-room apartment,115.0,210000.0,26/05/2022
602,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,110.0,190000.0,09/01/2023
604,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,139.0,260000.0,26/10/2023
605,tunis,marsa,La Marsa,Sale,3-room apartment,289.0,1540000.0,20/06/2023
606,tunis,marsa,La Marsa,Sale,2-room apartment,60.0,26000.0,21/10/2023
607,ariana,mnihla,Mnihla,Sale,2-room apartment,54.0,100000.0,28/08/2023
608,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,130.0,370000.0,05/12/2023
609,tunis,marsa,La Marsa,Sale,5-room apartment and more,85.0,320000.0,25/10/2023
610,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,175.0,430000.0,11/11/2023
611,tunis,marsa,La Marsa,Sale,4-room apartment,156.0,336000.0,20/10/2023
612,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,100.0,200000.0,09/10/2023
613,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,134.0,225000.0,25/10/2023
614,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,78.0,350000.0,21/10/2023
615,ben arous,mourouj,El Mourouj,Sale,4-room apartment,246.0,425000.0,05/10/2023
616,ben arous,mourouj,El Mourouj,Sale,2-room apartment,50.0,90000.0,22/11/2023
617,tunis,marsa,La Marsa,Sale,3-room apartment,130.0,256000.0,06/06/2023
618,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,150.0,345000.0,02/11/2023
619,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,79.0,310000.0,12/11/2023
620,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,121.0,270000.0,06/11/2023
621,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,86.0,200000.0,09/08/2023
622,tunis,marsa,La Marsa,Sale,1-room apartment,66.0,210000.0,03/11/2023
623,tunis,menzah,El Menzah,Sale,3-room apartment,85.0,247000.0,09/11/2023
624,tunis,menzah,El Menzah,Sale,5-room apartment and more,135.0,330000.0,19/10/2023
625,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,187.0,350000.0,04/10/2023
626,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,124.0,477400.0,28/10/2023
627,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,105.0,189000.0,04/12/2023
628,tunis,marsa,La Marsa,Sale,3-room apartment,154.0,345000.0,08/11/2023
629,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,150.0,397000.0,24/10/2023
630,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,73.0,170000.0,13/09/2023
631,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,85.0,185000.0,01/12/2023
632,tunis,ouerdia,El Ouerdia,Sale,4-room apartment,130.0,190000.0,29/10/2023
633,ariana,soukra,La Soukra,Sale,3-room apartment,115.0,165000.0,03/10/2023
634,ariana,soukra,La Soukra,Sale,3-room apartment,75.0,250000.0,10/09/2023
635,ben arous,mourouj,El Mourouj,Sale,1-room apartment,60.0,85000.0,15/09/2023
636,tunis,cite el khadra,Cite El Khadra,Sale,5-room apartment and more,180.0,980000.0,20/02/2023
637,tunis,bardo,Le Bardo,Sale,3-room apartment,432.0,500000.0,24/09/2023
638,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,165.0,665000.0,03/10/2023
639,tunis,menzah,El Menzah,Sale,3-room apartment,106.0,240000.0,17/11/2023
640,tunis,ouerdia,El Ouerdia,Sale,2-room apartment,85.0,350000.0,31/10/2023
641,tunis,marsa,La Marsa,Sale,1-room apartment,52.0,167000.0,16/09/2023
642,ariana,soukra,La Soukra,Sale,4-room apartment,179.0,420000.0,26/10/2023
643,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,73.0,190000.0,12/10/2023
644,tunis,bab bhar,Bab Bhar,Sale,2-room apartment,95.0,240000.0,11/11/2023
645,tunis,carthage,Carthage,Sale,2-room apartment,75.0,195000.0,02/11/2023
646,tunis,la goulette,La Goulette,Sale,5-room apartment and more,163.0,410000.0,11/10/2023
647,tunis,marsa,La Marsa,Sale,3-room apartment,120.0,359000.0,04/12/2023
648,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,172.0,688000.0,17/05/2023
649,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,111.0,170000.0,30/11/2023
650,tunis,menzah,El Menzah,Sale,1-room apartment,30.0,145000.0,05/11/2023
651,tunis,bab bhar,Bab Bhar,Sale,4-room apartment,140.0,240000.0,11/11/2023
652,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,100.0,270000.0,14/11/2023
653,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,137.0,500000.0,17/11/2023
654,ariana,raoued,Raoued,Sale,3-room apartment,65.0,110000.0,22/09/2023
655,tunis,ettahrir,Ettahrir,Sale,4-room apartment,120.0,190000.0,02/10/2023
656,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,67.0,330000.0,19/06/2023
657,tunis,omrane superieur,El Omrane Superieur,Sale,3-room apartment,110.0,125000.0,25/10/2023
658,tunis,marsa,La Marsa,Sale,3-room apartment,154.0,324000.0,22/06/2023
659,tunis,la goulette,La Goulette,Sale,4-room apartment,140.0,630000.0,02/11/2023
660,tunis,marsa,La Marsa,Sale,3-room apartment,138.0,290000.0,14/09/2023
661,ariana,soukra,La Soukra,Sale,2-room apartment,115.0,380000.0,20/05/2023
662,tunis,marsa,La Marsa,Sale,3-room apartment,140.0,320000.0,17/08/2023
663,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,131.0,488000.0,23/05/2023
664,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,180.0,405000.0,28/10/2022
665,ben arous,mourouj,El Mourouj,Sale,4-room apartment,82.0,135000.0,26/05/2023
666,tunis,marsa,La Marsa,Sale,4-room apartment,210.0,1000000.0,20/09/2021
667,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,110.0,300000.0,27/10/2023
668,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,124.0,240000.0,01/11/2023
669,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,42.0,250000.0,17/11/2023
670,tunis,marsa,La Marsa,Sale,4-room apartment,300.0,1600000.0,06/07/2023
671,ariana,mnihla,Mnihla,Sale,3-room apartment,140.0,360000.0,26/11/2023
672,tunis,marsa,La Marsa,Sale,3-room apartment,146.0,300000.0,04/01/2023
673,ben arous,megrine,Megrine,Sale,2-room apartment,116.0,200000.0,06/10/2023
674,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,46.0,170000.0,16/11/2023
675,tunis,menzah,El Menzah,Sale,4-room apartment,145.0,430000.0,13/11/2023
676,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,49.0,220000.0,16/08/2023
677,ariana,raoued,Raoued,Sale,3-room apartment,70.0,120000.0,04/11/2023
678,manouba,mannouba,Mannouba,Sale,2-room apartment,96.0,170000.0,04/09/2023
679,ben arous,rades,Rades,Sale,3-room apartment,70.0,140000.0,17/10/2023
680,tunis,cite el khadra,Cite El Khadra,Sale,3-room apartment,82.0,185000.0,20/11/2023
681,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,93.0,240000.0,19/09/2023
682,ariana,soukra,La Soukra,Sale,3-room apartment,90.0,110000.0,30/05/2023
683,tunis,menzah,El Menzah,Sale,1-room apartment,60.0,165000.0,09/11/2023
684,tunis,omrane superieur,El Omrane Superieur,Sale,2-room apartment,112.0,142000.0,01/12/2023
685,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,114.0,310000.0,19/09/2023
686,manouba,mannouba,Mannouba,Sale,3-room apartment,124.0,180000.0,08/08/2023
687,ariana,soukra,La Soukra,Sale,3-room apartment,75.0,280000.0,30/11/2022
688,ariana,raoued,Raoued,Sale,3-room apartment,97.0,178000.0,09/04/2023
689,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,90.0,255000.0,26/10/2023
690,tunis,bab bhar,Bab Bhar,Sale,2-room apartment,55.0,75000.0,30/11/2023
691,ben arous,mourouj,El Mourouj,Sale,4-room apartment,75.0,135000.0,21/10/2023
692,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,70.0,180000.0,18/11/2023
693,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,70.0,235000.0,19/06/2023
694,ben arous,mourouj,El Mourouj,Sale,4-room apartment,155.0,340000.0,06/11/2023
695,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,60.0,180000.0,23/11/2023
696,ben arous,mourouj,El Mourouj,Sale,2-room apartment,77.0,165000.0,05/09/2023
697,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,75.0,135000.0,25/10/2023
698,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,98.0,105000.0,30/03/2023
699,tunis,marsa,La Marsa,Sale,2-room apartment,70.0,267000.0,03/11/2023
700,ben arous,mourouj,El Mourouj,Sale,3-room apartment,73.0,110000.0,06/10/2023
701,tunis,marsa,La Marsa,Sale,3-room apartment,125.0,330000.0,03/11/2023
702,ben arous,mourouj,El Mourouj,Sale,4-room apartment,124.0,235000.0,08/08/2023
703,tunis,marsa,La Marsa,Sale,4-room apartment,161.0,495000.0,07/11/2023
704,tunis,menzah,El Menzah,Sale,2-room apartment,80.0,280000.0,11/11/2023
705,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,200.0,520000.0,09/10/2023
706,ariana,soukra,La Soukra,Sale,3-room apartment,165.0,520000.0,12/11/2021
707,tunis,marsa,La Marsa,Sale,3-room apartment,154.0,345000.0,16/11/2023
708,tunis,marsa,La Marsa,Sale,4-room apartment,153.0,280000.0,16/08/2023
709,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,126.0,232000.0,05/12/2023
710,ben arous,hammam lif,Hammam Lif,Sale,4-room apartment,127.0,230000.0,28/11/2023
711,tunis,bab souika,Bab Souika,Sale,4-room apartment,112.0,240000.0,05/08/2023
713,ben arous,medina jedida,Nouvelle Medina,Sale,3-room apartment,120.0,210000.0,21/11/2023
715,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,105.0,388000.0,19/11/2023
716,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,110.0,300000.0,25/10/2023
717,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,113.0,360000.0,01/12/2023
718,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,85.0,270000.0,13/10/2023
719,ariana,soukra,La Soukra,Sale,4-room apartment,130.0,439000.0,12/07/2023
720,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,242.0,480000.0,13/10/2023
721,ariana,soukra,La Soukra,Sale,3-room apartment,120.0,340000.0,23/11/2023
722,tunis,cite el khadra,Cite El Khadra,Sale,4-room apartment,96.0,200000.0,01/08/2023
723,ben arous,medina jedida,Nouvelle Medina,Sale,4-room apartment,134.0,220000.0,25/09/2023
724,tunis,menzah,El Menzah,Sale,3-room apartment,100.0,220000.0,06/11/2023
725,tunis,bab bhar,Bab Bhar,Sale,2-room apartment,40.0,93000.0,30/08/2023
726,tunis,menzah,El Menzah,Sale,1-room apartment,60.0,165000.0,27/10/2023
727,ariana,ariana ville,Ariana Ville,Sale,5-room apartment and more,285.0,530000.0,09/11/2023
728,tunis,bardo,Le Bardo,Sale,3-room apartment,70.0,65000.0,11/11/2023
729,ariana,raoued,Raoued,Sale,3-room apartment,73.0,145000.0,21/06/2023
730,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,161.0,530000.0,23/11/2023
731,tunis,marsa,La Marsa,Sale,3-room apartment,135.0,450000.0,30/01/2023
732,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,197.0,559000.0,18/03/2021
733,ben arous,mourouj,El Mourouj,Sale,2-room apartment,107.0,220000.0,09/08/2023
734,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,130.0,390000.0,08/10/2023
735,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,134.0,260000.0,30/11/2022
736,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,80.0,265000.0,18/06/2023
737,ben arous,mourouj,El Mourouj,Sale,3-room apartment,90.0,125000.0,31/05/2023
738,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,92.0,240000.0,04/10/2023
739,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,150.0,460000.0,07/10/2023
740,tunis,bardo,Le Bardo,Sale,3-room apartment,70.0,165000.0,05/12/2023
741,ben arous,mourouj,El Mourouj,Sale,3-room apartment,93.0,250000.0,04/09/2023
742,manouba,mannouba,Mannouba,Sale,3-room apartment,80.0,208000.0,11/06/2023
743,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,90.0,230000.0,01/12/2023
744,ben arous,megrine,Megrine,Sale,3-room apartment,400.0,450000.0,20/10/2023
745,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,84.0,200000.0,11/10/2023
747,tunis,marsa,La Marsa,Sale,1-room apartment,47.0,167000.0,03/11/2023
748,tunis,marsa,La Marsa,Sale,2-room apartment,120.0,370000.0,14/09/2023
749,ariana,soukra,La Soukra,Sale,3-room apartment,129.0,365000.0,05/12/2023
750,tunis,marsa,La Marsa,Sale,3-room apartment,150.0,350000.0,08/11/2023
751,ariana,soukra,La Soukra,Sale,2-room apartment,69.0,210000.0,03/11/2023
753,tunis,cite el khadra,Cite El Khadra,Sale,3-room apartment,100.0,230000.0,14/11/2023
754,ben arous,mourouj,El Mourouj,Sale,3-room apartment,85.0,118000.0,07/11/2023
755,tunis,menzah,El Menzah,Sale,3-room apartment,100.0,220000.0,09/10/2023
756,ben arous,mourouj,El Mourouj,Sale,4-room apartment,107.0,158000.0,29/11/2023
757,ben arous,medina jedida,Nouvelle Medina,Sale,2-room apartment,115.0,210000.0,26/10/2023
758,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,160.0,570000.0,07/10/2023
759,ariana,soukra,La Soukra,Sale,4-room apartment,157.0,530000.0,20/11/2023
760,tunis,bab souika,Bab Souika,Sale,4-room apartment,112.0,240000.0,21/03/2023
761,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,55.0,185000.0,21/11/2023
762,ariana,soukra,La Soukra,Sale,4-room apartment,131.0,330000.0,02/11/2023
763,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,58.0,185000.0,20/10/2023
764,tunis,marsa,La Marsa,Sale,2-room apartment,121.0,300000.0,16/11/2023
765,ariana,soukra,La Soukra,Sale,3-room apartment,130.0,410000.0,21/11/2023
766,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,49.0,195000.0,01/12/2023
767,tunis,marsa,La Marsa,Sale,4-room apartment,183.0,775000.0,03/10/2022
768,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,94.0,310000.0,27/09/2023
769,ariana,soukra,La Soukra,Sale,5-room apartment and more,180.0,400000.0,22/10/2023
770,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,150.0,450000.0,18/09/2023
771,ariana,soukra,La Soukra,Sale,3-room apartment,90.0,250000.0,23/10/2023
772,ariana,soukra,La Soukra,Sale,3-room apartment,120.0,500000.0,14/10/2023
773,tunis,marsa,La Marsa,Sale,2-room apartment,130.0,365000.0,15/06/2023
774,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,240.0,900000.0,11/11/2023
775,ben arous,mourouj,El Mourouj,Sale,3-room apartment,115.0,215000.0,03/10/2023
776,ariana,soukra,La Soukra,Sale,3-room apartment,95.0,128000.0,07/11/2023
777,ben arous,mourouj,El Mourouj,Sale,4-room apartment,110.0,275000.0,28/09/2023
778,ben arous,ben arous,Ben Arous,Sale,2-room apartment,126.0,291000.0,08/09/2023
780,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,46.0,170000.0,20/11/2023
781,tunis,menzah,El Menzah,Sale,3-room apartment,136.0,340000.0,13/09/2023
782,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,158.0,360000.0,29/08/2023
783,ariana,mnihla,Mnihla,Sale,4-room apartment,167.0,380000.0,16/09/2023
784,ben arous,mourouj,El Mourouj,Sale,3-room apartment,90.0,148000.0,05/10/2023
785,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,172.0,840000.0,03/01/2023
786,tunis,marsa,La Marsa,Sale,3-room apartment,130.0,270000.0,23/03/2023
787,tunis,menzah,El Menzah,Sale,5-room apartment and more,103.0,280000.0,31/07/2023
788,ben arous,rades,Rades,Sale,3-room apartment,86.0,150000.0,03/08/2023
789,ariana,soukra,La Soukra,Sale,3-room apartment,170.0,570000.0,22/06/2023
790,tunis,bab bhar,Bab Bhar,Sale,1-room apartment,26.0,90000.0,02/12/2023
791,tunis,marsa,La Marsa,Sale,4-room apartment,190.0,1300000.0,23/11/2023
792,tunis,marsa,La Marsa,Sale,3-room apartment,120.0,500000.0,04/10/2023
793,ben arous,hammam lif,Hammam Lif,Sale,3-room apartment,120.0,180000.0,15/04/2023
794,ben arous,mourouj,El Mourouj,Sale,4-room apartment,100.0,220000.0,14/09/2023
795,tunis,marsa,La Marsa,Sale,3-room apartment,75.0,22000.0,07/09/2023
796,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,52.0,165000.0,18/09/2023
797,ariana,raoued,Raoued,Sale,3-room apartment,125.0,285000.0,02/11/2023
798,ben arous,mourouj,El Mourouj,Sale,2-room apartment,64.0,85000.0,01/12/2023
799,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,196.0,550000.0,11/01/2023
800,ben arous,mourouj,El Mourouj,Sale,3-room apartment,100.0,146000.0,04/12/2023
801,tunis,cite el khadra,Cite El Khadra,Sale,4-room apartment,90.0,235000.0,17/10/2023
802,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,100.0,265000.0,17/08/2023
803,tunis,marsa,La Marsa,Sale,3-room apartment,102.0,260000.0,18/09/2023
804,tunis,kram,El Kram,Sale,2-room apartment,80.0,370000.0,09/08/2023
805,tunis,bab bhar,Bab Bhar,Sale,5-room apartment and more,100.0,140000.0,30/11/2023
806,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,133.0,550000.0,25/05/2023
807,tunis,menzah,El Menzah,Sale,4-room apartment,190.0,470000.0,21/08/2023
808,tunis,bab bhar,Bab Bhar,Sale,4-room apartment,178.0,530000.0,02/02/2023
809,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,65.0,140000.0,05/09/2023
810,ariana,soukra,La Soukra,Sale,4-room apartment,186.0,450000.0,16/11/2023
811,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,120.0,230000.0,15/11/2023
812,tunis,bardo,Le Bardo,Sale,3-room apartment,80.0,140000.0,30/11/2023
813,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,134.0,260000.0,27/07/2023
814,tunis,menzah,El Menzah,Sale,4-room apartment,140.0,320000.0,07/03/2023
815,ben arous,mourouj,El Mourouj,Sale,3-room apartment,85.0,116000.0,20/11/2023
816,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,70.0,130000.0,11/11/2023
817,tunis,cite el khadra,Cite El Khadra,Sale,3-room apartment,77.0,200000.0,28/03/2023
818,ben arous,rades,Rades,Sale,4-room apartment,100.0,165000.0,17/11/2022
819,tunis,marsa,La Marsa,Sale,4-room apartment,154.0,345000.0,16/05/2023
820,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,130.0,235000.0,13/10/2022
821,tunis,marsa,La Marsa,Sale,1-room apartment,56.0,167000.0,12/09/2023
822,ben arous,megrine,Megrine,Sale,3-room apartment,400.0,450000.0,11/10/2023
824,ben arous,mourouj,El Mourouj,Sale,3-room apartment,90.0,120000.0,15/08/2023
825,tunis,marsa,La Marsa,Sale,2-room apartment,52.0,175000.0,28/09/2023
826,tunis,medina jedida,La Medina,Sale,4-room apartment,102.0,140000.0,07/11/2023
827,ben arous,mourouj,El Mourouj,Sale,3-room apartment,80.0,120000.0,28/09/2023
828,tunis,menzah,El Menzah,Sale,2-room apartment,63.0,165000.0,03/11/2023
829,ben arous,mourouj,El Mourouj,Sale,4-room apartment,107.0,167000.0,02/11/2023
830,ben arous,mourouj,El Mourouj,Sale,3-room apartment,100.0,145000.0,03/12/2023
831,ben arous,hammam lif,Hammam Lif,Sale,3-room apartment,94.0,140000.0,26/08/2023
832,tunis,bardo,Le Bardo,Sale,3-room apartment,90.0,220000.0,09/06/2023
833,ben arous,boumhel el bassatine,Bou Mhel El Bassatine,Sale,2-room apartment,50.0,105000.0,17/10/2023
834,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,55.0,167000.0,01/12/2023
835,tunis,marsa,La Marsa,Sale,4-room apartment,179.0,398000.0,29/11/2023
836,tunis,marsa,La Marsa,Sale,3-room apartment,182.0,436000.0,22/05/2023
837,tunis,la goulette,La Goulette,Sale,3-room apartment,220.0,680000.0,06/10/2022
838,tunis,kram,El Kram,Sale,1-room apartment,165.0,815000.0,08/10/2023
839,ariana,soukra,La Soukra,Sale,3-room apartment,150.0,320000.0,09/01/2023
840,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,135.0,365000.0,19/09/2022
841,tunis,bab souika,Bab Souika,Sale,2-room apartment,45.0,78000.0,07/09/2023
842,ariana,soukra,La Soukra,Sale,2-room apartment,95.0,170000.0,19/09/2023
843,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,61.0,65000.0,08/09/2023
844,tunis,bab bhar,Bab Bhar,Sale,5-room apartment and more,150.0,230000.0,29/09/2023
845,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,124.0,600000.0,29/09/2023
846,ariana,soukra,La Soukra,Sale,3-room apartment,120.0,540000.0,24/08/2023
847,tunis,ouerdia,El Ouerdia,Sale,4-room apartment,108.0,165000.0,21/11/2023
848,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,118.0,410000.0,10/08/2023
849,tunis,marsa,La Marsa,Sale,4-room apartment,250.0,850000.0,11/11/2022
850,ariana,soukra,La Soukra,Sale,3-room apartment,155.0,476000.0,14/06/2023
851,tunis,marsa,La Marsa,Sale,3-room apartment,150.0,155000.0,21/11/2023
852,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,76.0,190000.0,31/10/2023
853,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,153.0,550000.0,04/10/2023
854,ben arous,mourouj,El Mourouj,Sale,4-room apartment,110.0,130000.0,11/10/2023
855,ariana,soukra,La Soukra,Sale,3-room apartment,140.0,370000.0,07/11/2023
856,tunis,bab bhar,Bab Bhar,Sale,5-room apartment and more,140.0,320000.0,21/12/2022
857,tunis,marsa,La Marsa,Sale,4-room apartment,153.0,367920.0,11/05/2022
858,tunis,marsa,La Marsa,Sale,2-room apartment,118.0,291000.0,06/12/2023
859,tunis,marsa,La Marsa,Sale,4-room apartment,130.0,290000.0,08/07/2023
860,ariana,soukra,La Soukra,Sale,4-room apartment,113.0,175000.0,07/10/2023
861,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,137.0,423000.0,10/11/2023
862,ben arous,mourouj,El Mourouj,Sale,3-room apartment,65.0,145000.0,18/01/2023
863,ben arous,medina jedida,Nouvelle Medina,Sale,3-room apartment,130.0,240000.0,20/10/2023
864,ariana,ariana ville,Ariana Ville,Sale,5-room apartment and more,182.0,560000.0,28/11/2023
865,ben arous,ben arous,Ben Arous,Sale,3-room apartment,70.0,149000.0,09/11/2023
866,tunis,sidi el bechir,Sidi El Bechir,Sale,3-room apartment,70.0,119000.0,12/09/2022
867,tunis,marsa,La Marsa,Sale,2-room apartment,118.0,291000.0,01/12/2023
868,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,80.0,160000.0,30/11/2023
869,tunis,marsa,La Marsa,Sale,3-room apartment,132.0,315000.0,05/12/2023
870,tunis,marsa,La Marsa,Sale,1-room apartment,60.0,220000.0,06/12/2023
871,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,42.0,170000.0,17/11/2023
872,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,27.0,100000.0,22/11/2023
873,tunis,marsa,La Marsa,Sale,1-room apartment,58.0,172000.0,05/10/2023
874,tunis,kabbaria,El Kabbaria,Sale,2-room apartment,80.0,120000.0,29/08/2023
875,ben arous,mourouj,El Mourouj,Sale,3-room apartment,130.0,200000.0,02/08/2023
876,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,150.0,350000.0,17/10/2023
877,tunis,bab bhar,Bab Bhar,Sale,2-room apartment,60.0,120000.0,13/04/2023
878,tunis,cite el khadra,Cite El Khadra,Sale,3-room apartment,75.0,150000.0,03/10/2023
879,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,110.0,499000.0,25/10/2023
880,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,90.0,180000.0,06/12/2023
881,ben arous,rades,Rades,Sale,4-room apartment,100.0,180000.0,29/10/2023
882,ariana,soukra,La Soukra,Sale,2-room apartment,120.0,365000.0,13/10/2023
883,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,220.0,510000.0,06/11/2023
884,tunis,menzah,El Menzah,Sale,5-room apartment and more,500.0,1800000.0,31/10/2023
885,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,155.0,450000.0,25/09/2023
886,tunis,marsa,La Marsa,Sale,3-room apartment,161.0,485000.0,04/10/2023
887,tunis,menzah,El Menzah,Sale,5-room apartment and more,500.0,1800000.0,09/11/2023
888,tunis,medina jedida,La Medina,Sale,3-room apartment,160.0,165000.0,08/11/2023
889,tunis,marsa,La Marsa,Sale,2-room apartment,117.0,435000.0,09/05/2023
891,ben arous,mourouj,El Mourouj,Sale,3-room apartment,65.0,115000.0,30/10/2023
892,tunis,menzah,El Menzah,Sale,2-room apartment,95.0,240000.0,22/10/2023
893,ben arous,mourouj,El Mourouj,Sale,3-room apartment,90.0,160000.0,09/08/2023
895,tunis,medina jedida,La Medina,Sale,2-room apartment,80.0,85000.0,20/11/2023
896,ben arous,ben arous,Ben Arous,Sale,2-room apartment,110.0,237000.0,11/10/2023
897,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,92.0,240000.0,21/09/2023
898,tunis,marsa,La Marsa,Sale,2-room apartment,69.0,469000.0,07/11/2023
899,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,130.0,259000.0,01/12/2023
900,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,100.0,190000.0,06/09/2023
901,tunis,marsa,La Marsa,Sale,1-room apartment,50.0,180000.0,11/10/2023
902,tunis,cite el khadra,Cite El Khadra,Sale,5-room apartment and more,202.0,395000.0,06/09/2023
903,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,140.0,392000.0,03/03/2023
904,tunis,bab bhar,Bab Bhar,Sale,2-room apartment,100.0,250000.0,30/09/2023
906,ariana,soukra,La Soukra,Sale,2-room apartment,110.0,460000.0,05/12/2023
907,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,130.0,230000.0,10/11/2023
909,ben arous,mourouj,El Mourouj,Sale,2-room apartment,116.0,278000.0,17/11/2023
910,ben arous,ben arous,Ben Arous,Sale,3-room apartment,60.0,85000.0,20/11/2023
911,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,95.0,235000.0,28/04/2023
